,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
3609,Digital,OverDrive,EBOOK,2018,1,1,Shrapnel: A Memoir,,William Wharton,"Biography & Autobiography, History, Military, Nonfiction",HarperCollins Publishers Inc.,2013
3673,Digital,OverDrive,EBOOK,2018,1,1,"The Demon and the Succubus: Sisters of Darkness Series, Book 2",,Cassie Ryan,"Fantasy, Fiction, Romance","Penguin Group (USA), Inc.",2013
3699,Digital,OverDrive,EBOOK,2018,1,12,"Ender's Game: Ender Wiggin Series, Book 1",,Orson Scott Card,"Fiction, Science Fiction",Macmillan Publishers,2013
3714,Digital,OverDrive,EBOOK,2018,1,4,Reservation Blues: A Novel,,Sherman Alexie,"Fiction, Literature",Open Road Integrated Media,2013
3772,Digital,OverDrive,AUDIOBOOK,2018,1,2,Wonderfully Made (Unabridged),,Joyce Meyer,"Juvenile Fiction, Picture Book Fiction",Zondervan,2013
3821,Digital,OverDrive,EBOOK,2018,1,1,Rosinante to the Road Again,,John Dos Passos,"Nonfiction, Travel","Sterling Publishing Co., Inc.",2013
3864,Digital,OverDrive,EBOOK,2018,1,9,Purple Hibiscus: A Novel,,Chimamanda Ngozi Adichie,"Young Adult Fiction, Young Adult Literature",Workman Publishing,2013
3925,Digital,OverDrive,EBOOK,2018,1,1,"Tracking Bear: Ella Clah Series, Book 8",,Aimée Thurlo,"Fiction, Mystery",Macmillan Publishers,2013
3930,Digital,OverDrive,EBOOK,2018,1,2,The Stanislavski System: The Professional Training of an Actor; Second Revised Edition,,Sonia Moore,"Nonfiction, Performing Arts","Penguin Group (USA), Inc.",2013
3968,Digital,OverDrive,EBOOK,2018,1,1,Going Once,,Sharon  Sala,"Fiction, Romance, Suspense, Suspense","Harlequin Enterprises, Ltd.",2013
3981,Digital,OverDrive,EBOOK,2018,1,6,Wired for Love: How Understanding Your Partner's Brain and Attachment Style Can Help You Defuse Conflict and Build a Secure Relationship,,Stan Tatkin,"Family & Relationships, Nonfiction",New Harbinger Publications,2013
4006,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Poppet: Jack Caffery Series, Book 6 (unabridged) (Unabridged)",,Mo Hayder,"Fiction, Mystery, Suspense, Thriller","Dreamscape Media, LLC",2013
4050,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Empty Land (Unabridged),,Louis L'Amour,"Fiction, Western",Books on Tape,2013
4059,Digital,OverDrive,EBOOK,2018,1,1,"Murder on Lexington Avenue: Gaslight Mystery Series, Book 12",,Victoria Thompson,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
4091,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Children of Dune: Dune Series, Book 3 (unabridged) (Unabridged)",,Frank Herbert,"Fiction, Science Fiction",Macmillan Audio,2013
4099,Digital,OverDrive,EBOOK,2018,1,1,Southern Storm,,Terri Blackstock,"Fiction, Mystery, Suspense, Thriller",Zondervan,2013
4106,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Sum of All Kisses (Unabridged),,Julia Quinn,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2013
4143,Digital,OverDrive,EBOOK,2018,1,5,"Books Can Be Deceiving: Library Lover's Mystery Series, Book 1",,Jenn McKinlay,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
4150,Digital,OverDrive,AUDIOBOOK,2018,1,2,Secretly Smitten (Unabridged),,Colleen Coble,"Christian Fiction, Fiction, Romance","Oasis Audio, LLC",2013
4167,Digital,OverDrive,EBOOK,2018,1,1,Paprika: A Novel,,Yasutaka Tsutsui,"Fiction, Literature, Science Fiction","Random House, Inc.",2013
4169,Digital,OverDrive,EBOOK,2018,1,1,A Peace to End All Peace: The Fall of the Ottoman Empire and the Creation of,,David Fromkin,"History, Nonfiction",Macmillan Publishers,2013
4215,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Beggar King and the Secret of Happiness: A True Story (unabridged) (Unabridged),,Joel ben Izzy,"Biography & Autobiography, Nonfiction, Self-Improvement",HighBridge Company,2013
4218,Digital,OverDrive,EBOOK,2018,1,2,"Cockatiels at Seven: Meg Langslow Mystery Series, Book 9",,Donna Andrews,"Fiction, Humor (Fiction), Mystery",Macmillan Publishers,2013
4224,Digital,OverDrive,AUDIOBOOK,2018,1,2,"The Winter Queen: Erast Fandorin Series, Book 1 (unabridged) (Unabridged)",,Boris Akunin,"Fiction, Historical Fiction, Mystery, Suspense",Books on Tape,2013
4234,Digital,OverDrive,EBOOK,2018,1,2,Tierra de todos: Nuestro momento para crear una nacion de iguales,,Jorge Ramos,"Nonfiction, Politics, Sociology","Random House, Inc.",2013
4243,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Takedown Twenty: Stephanie Plum Series, Book 20 (unabridged) (Unabridged)",,Janet Evanovich,"Fiction, Humor (Fiction), Mystery",Books on Tape,2013
4248,Digital,OverDrive,EBOOK,2018,1,1,"The Good Thief's Guide to Amsterdam: Charlie Howard Series, Book 1",,Chris Ewan,"Fiction, Mystery, Thriller",Macmillan Publishers,2013
4301,Digital,OverDrive,EBOOK,2018,1,2,"Unlawful Contact: I-Team Series, Book 3",,Pamela Clare,"Fiction, Romance","Penguin Group (USA), Inc.",2013
4308,Digital,OverDrive,AUDIOBOOK,2018,1,2,Protection Workshop (Unabridged),,Cassandra Eason,"Nonfiction, Religion & Spirituality, Self Help, Self-Improvement","Blackstone Audio, Inc.",2013
4323,Digital,OverDrive,EBOOK,2018,1,2,Strapless,,Deborah Davis,"Art, Nonfiction","Penguin Group (USA), Inc.",2013
4366,Digital,OverDrive,AUDIOBOOK,2018,1,1,Why People Don't Heal: And How They Can (unabridged) (Unabridged),,Caroline Myss,"Health & Fitness, Nonfiction","Sounds True, Inc",2013
4400,Digital,OverDrive,EBOOK,2018,1,4,Low Pressure,,Sandra Brown,"Fiction, Suspense, Thriller","Hachette Digital, Inc.",2013
4471,Digital,OverDrive,EBOOK,2018,1,1,Until the End of Time: A Novel,,Danielle Steel,"Fiction, Literature, Romance","Random House, Inc.",2013
4499,Digital,OverDrive,EBOOK,2018,1,2,Kiss of Surrender,,Sandra Hill,"Fantasy, Fiction, Romance",HarperCollins Publishers Inc.,2013
4519,Digital,OverDrive,EBOOK,2018,1,2,"Whole Grains Every Day, Every Way",,Lorna Sass,"Cooking & Food, Nonfiction","Random House, Inc.",2013
4579,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Riven Kingdom: Godspeaker Trilogy, Book 2 (unabridged) (Unabridged)",,Karen Miller,"Fantasy, Fiction","Tantor Media, Inc",2013
4624,Digital,OverDrive,EBOOK,2018,1,2,"Whisper to the Blood: Kate Shugak Series, Book 16",,Dana Stabenow,"Fiction, Mystery",Macmillan Publishers,2013
4626,Digital,OverDrive,EBOOK,2018,1,1,The Art of Being Brilliant: Transform Your Life by Doing What Works For You,,Andy Cope,"Business, Nonfiction","John Wiley & Sons, Inc.",2013
4648,Digital,OverDrive,AUDIOBOOK,2018,1,6,"Titan: The Life of John D. Rockefeller, Sr. (unabridged) (Unabridged)",,Ron Chernow,"Biography & Autobiography, Business, History, Nonfiction","Blackstone Audio, Inc.",2013
4654,Digital,OverDrive,EBOOK,2018,1,1,"Six Geese A-Slaying: Meg Langslow Mystery Series, Book 10",,Donna Andrews,"Fiction, Humor (Fiction), Mystery",Macmillan Publishers,2013
4665,Digital,OverDrive,EBOOK,2018,1,1,Islands of Destiny: The Solomons Campaign and the Eclipse of the Rising Sun,,John Prados,"History, Military, Nonfiction","Penguin Group (USA), Inc.",2013
4689,Digital,OverDrive,EBOOK,2018,1,3,"Ask the Cards a Question: Sharon McCone Mystery Series, Book 2",,Marcia Muller,"Fiction, Mystery","Blackstone Audio, Inc.",2013
4701,Digital,OverDrive,EBOOK,2018,1,1,The Morels,,Christopher Hacker,"Fiction, Literature","Random House, Inc.",2013
4720,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Tale of Peter Rabbit (Unabridged),,Beatrix Potter,"Classic Literature, Fantasy, Juvenile Fiction",Interactive Media,2013
